decimalLatitude,decimalLongitude,vernacularName
60.638,-145.898,northern sea otter
60.63805,-145.903983,northern sea otter
60.625,-145.921,northern sea otter
60.629,-145.909,northern sea otter
60.645117,-145.91775,northern sea otter
60.66415,-145.88735,northern sea otter
60.640117,-145.905583,northern sea otter
60.640117,-145.905583,northern sea otter
60.635433,-145.896517,northern sea otter
60.634167,-145.92745,northern sea otter
60.63,-145.933,northern sea otter
60.6404,-145.902433,northern sea otter
60.642,-145.915,northern sea otter
60.633,-145.919,northern sea otter
60.631,-145.856,northern sea otter
60.634467,-145.90245,northern sea otter
60.640933,-145.90665,northern sea otter
60.633383,-145.858183,northern sea otter
